215.0 0.0 0.000 258.0 0.0 0.000 18
224.0 35.4 22.0 260.0 41.5 22.0 18
224.0 72.2 22.0 260.0 84.7 22.0 18
224.0 111.6 22.0 260.0 130.9 22.0 18
249.0 170.2 47.0 259.0 178.0 47.0 18
249.0 223.3 47.0 259.0 231.1 47.0 18
249.0 283.8 47.0 259.0 291.6 47.0 18
247.0 342.2 61.0 253.0 351.4 61.0 18
247.0 420.1 61.0 253.0 429.3 61.0 18
247.0 510.9 61.0 253.0 520.1 61.0 18
248.0 610.8 74.0 252.0 621.8 74.0 18
248.0 731.0 74.0 252.0 741.9 74.0 18
248.0 861.3 74.0 252.0 872.3 74.0 18
248.0 997.5 74.0 252.0 1008.5 74.0 18
248.0 1141.0 74.0 252.0 1152.0 74.0 18
