343.875 0.127 0 377.675 0.127 0 26
332.675 43.444 0 366.475 43.444 0 26
343.875 83.822 0 377.675 83.822 0 26
332.675 129.83 0 366.475 129.83 0 26
343.875 167.286 0 377.675 167.286 0 26
332.675 215.697 0 366.475 215.697 0 26
376 267.1644510504 40 384 272.1634058657 40 26
376 321.8751824331 40 384 326.8741372484 40 26
376 380.6355217247 40 384 385.63447654 40 26
370 432.1916246664 55 380 444.1091605924 55 26
370 501.3275312718 55 380 513.2450671978 55 26
370 577.5022563437 55 380 589.4197922696 55 26
370 660.6235916174 55 380 672.5411275434 55 26
370 742.843815797 68 374 751.0450311633 68 26
370 839.6958896923 68 374 847.8971050586 68 26
370 941.9287145024 68 374 950.1299298687 68 26
370 1045.517805029 68 374 1053.7190203953 68 26
370 1151.6290910575 68 374 1159.8303064238 68 26

