496.7 0.037 0 530.5 0.037 0 36
485.5 45.563  0 519.3 43.563  0 36
496.7 89.255  0 530.5 89.255  0 36
485.5 130.632 0 519.3 130.632 0 36
496.7 178.042 0 530.5 178.042 0 36
485.5 217.28  0 519.3 217.28  0 36
496.7 266.401 0 530.5 266.401 0 36
485.5 303.51  0 519.3 303.51  0 36
528 362.5227319743  44  536 367.1415341278  44  36
528 412.6922699487  44  536 417.3110721023  44  36
528 465.9758762822  44  536 470.5946784358  44  36
528 522.5668439996  44  536 527.1856461531  44  36
528 582.6704639974  44  536 587.2892661509  44  36
528 646.1474133693  44  536 650.7662155228  44  36
526 705.414193517 58  532 712.5647150725  58  36
526 768.2335627504  58  532 775.3840843059  58  36
526 836.0609732423  58  532 843.2114947979  58  36
526 909.1811831519  58  532 916.3317047075  58  36
526 986.7836016286  58  532 993.9341231842  58  36
526 1067.8576009209 58  532 1075.0081224765 58  36
526 1153.484426 58  532 1160.634947775  58  36

