500.0,0.0,0.000,545.0,0.0,0.000,36
510.0,40.2,0.384,542.0,43.0,0.384,36
510.0,83.2,0.384,542.0,86.0,0.384,36
510.0,127.7,0.384,542.0,130.5,0.384,36
510.0,173.8,0.384,542.0,176.6,0.384,36
510.0,221.4,0.384,542.0,224.2,0.384,36
510.0,270.5,0.384,542.0,273.3,0.384,36
515.0,307.9,0.698,538.0,321.2,0.698,36
515.0,360.4,0.698,538.0,373.6,0.698,36
515.0,415.9,0.698,538.0,429.2,0.698,36
515.0,474.7,0.698,538.0,488.0,0.698,36
515.0,536.5,0.698,538.0,549.8,0.698,36
515.0,601.5,0.698,538.0,614.7,0.698,36
520.0,661.7,1.012,532.0,676.0,1.012,36
520.0,735.7,1.012,532.0,750.0,1.012,36
520.0,815.5,1.012,532.0,829.8,1.012,36
520.0,901.4,1.012,532.0,915.7,1.012,36
520.0,993.3,1.012,532.0,1007.6,1.012,36
520.0,1091.6,1.012,532.0,1105.9,1.012,36
522.0,1189.3,1.222,530.0,1207.2,1.222,36
522.0,1304.5,1.222,530.0,1322.4,1.222,36
522.0,1429.5,1.222,530.0,1447.5,1.222,36
522.0,1559.6,1.222,530.0,1577.6,1.222,36
522.0,1688.6,1.222,530.0,1706.6,1.222,36
522.0,1817.7,1.222,530.0,1835.6,1.222,36
524.0,1947.5,1.344,528.0,1962.4,1.344,36
524.0,2081.4,1.344,528.0,2096.3,1.344,36
524.0,2212.9,1.344,528.0,2227.8,1.344,36
524.0,2345.8,1.344,528.0,2360.7,1.344,36
524.0,2478.5,1.344,528.0,2493.4,1.344,36
524.0,2618.0,1.344,528.0,2632.9,1.344,36
