216.2 0 0 250 0 0 18
206.1 39.512 0 238.8 39.512 0 18
216.2 83.664 0 250 83.664 0 18
206.1 118.542 0 238.8 118.542 0 18
247 172.2308763751 47 260 183.1391715804 47 18
247 225.9282066843 47 260 236.8365018896 47 18
247 287.1389039414 47 260 298.0471991467 47 18
247 346.4787974117 61 254 358.4218558547 61 18
247 425.3267216451 61 254 437.2697800882 61 18
247 516.9993641475 61 254 528.9424225906 61 18
247 613.5402489849 74 251 627.0843062845 74 18
247 735.1492683451 74 251 748.6933256446 74 18
247 867.1518907148 74 251 880.6959480143 74 18
247 1005.036083547 74 251 1018.5801408465 74 18
247 1150.4372398858 74 251 1163.9812971853 74 18
