500.0,0.0,0.000,545.0,0.0,0.000,36
510.0,39.2,0.384,542.0,42.0,0.384,36
510.0,81.2,0.384,542.0,84.0,0.384,36
510.0,124.7,0.384,542.0,127.5,0.384,36
510.0,169.6,0.384,542.0,172.4,0.384,36
510.0,216.0,0.384,542.0,218.8,0.384,36
510.0,263.8,0.384,542.0,266.6,0.384,36
515.0,299.8,0.698,538.0,313.1,0.698,36
515.0,350.6,0.698,538.0,363.9,0.698,36
515.0,404.3,0.698,538.0,417.6,0.698,36
515.0,461.1,0.698,538.0,474.4,0.698,36
515.0,520.8,0.698,538.0,534.1,0.698,36
515.0,583.5,0.698,538.0,596.8,0.698,36
520.0,641.2,1.012,532.0,655.5,1.012,36
520.0,711.9,1.012,532.0,726.2,1.012,36
520.0,787.6,1.012,532.0,801.9,1.012,36
520.0,868.6,1.012,532.0,882.9,1.012,36
520.0,954.1,1.012,532.0,968.4,1.012,36
520.0,1043.1,1.012,532.0,1057.4,1.012,36
520.0,1136.5,1.012,532.0,1150.8,1.012,36
